Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,502.115486913067
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,5352.85741103671
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3948.34327892571
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,40886.3911648431
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,2973.59115979868
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,17790.309306815
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,10006.1489736082
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,4622.73349328671
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,54907.1019101424
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,50277.2750874213
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,4793.58701966989
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,32933.4860147581
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,23503.977126673
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1855.73982408046
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,18148.2449264001
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,6663.29529282582
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,46116.69923368
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4815.1637107951
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1219.43267185875
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3552.0687621416
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,6073.26520283208
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7961.33814014048
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,8717.18627810819
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,31086.7510792939
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,9737.60135083347
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,774.8396902346
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,261.247472515742
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3603.7817936777
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1643.12138876475
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1497.90917560296
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,46194.7252255167
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,467.907440636335
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,709.540310138533
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,14896.4538665789
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,10261.6791283744
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,6432.38758339551
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1393.52237156461
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,545.216212311342
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,2011.07239887663
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,12238.3749643984
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,2286.162776855
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,14853.2398374635
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,27858.3709958327
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,23101.7777049854
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,59822.0929608968
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,3408.84625440838
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,8300.37507427213
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,8282.1162218645
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,6183.82382482173
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,3020.03134971543
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,4187.2500311069
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,8131.92388810912
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,23659.8722900339
GDP per capita (current US$),NY.GDP.PCAP.CD,Eswatini,SWZ,3837.02699384472
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,857.501351042922
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,6220.04642089247
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,48685.8539866945
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,40493.9285720456
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,PYF,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,7667.36686126914
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,751.294688388742
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,4769.18654326351
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,46258.8782897052
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,2202.11556738065
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,19582.5360108329
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,10965.5131592044
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,4619.98709708493
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,1064.13123736656
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,697.784402885715
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,5468.35662903592
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,754.58791774842
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,2574.91219067443
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,48755.8350791287
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,16475.7418389402
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,66944.8255080349
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,2104.14590003333
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,4135.56926281554
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,5955.10901036816
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,78660.9564629603
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,43641.3977358108
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,33189.5657988542
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,5582.26377755211
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,40246.8801284164
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,4330.32934593257
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,9731.14520688729
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,1816.5469164389
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,1655.07883905984
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. People’s Rep.",PRK,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,31761.9776923447
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,XKX,4417.50993975428
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,32031.9801025988
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,1309.39299165512
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,2534.89827724281
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,17836.3648865958
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,7784.31685692976
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,1157.53516433147
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,621.892953622715
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,7683.75061122959
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,19455.4541266341
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,114704.594170863
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,84096.3963112065
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,522.21980923047
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,411.552340423602
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,11414.8376618668
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,10790.50023682
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,890.737285506382
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,29416.2306070084
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,1677.91925268633
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,11203.5405848607
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,9863.0726988757
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,4498.52085021233
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,4295.23502487944
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,8832.03683598629
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,3204.09500313298
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,491.804723063735
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,1407.81314341043
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,4957.4580058497
GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,9396.98196681072
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,1071.05076056552
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,52447.8314391911
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,..
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,42084.3533748088
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,1912.90374537869
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,554.600968697425
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,2229.85869624463
GDP per capita (current US$),NY.GDP.PCAP.CD,North Macedonia,MKD,6093.14769049676
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,75419.6348688089
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,15474.0324753635
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,1284.70204090039
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,15731.0160348471
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,2845.18018574842
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,5414.79913793258
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,6977.69578355382
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,3485.08421836621
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,15595.2270334259
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,23145.0408172828
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,32873.7192730424
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,64781.7331974169
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,12919.5296441908
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,11584.9953826104
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,801.656186978807
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,4315.92067469565
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,1994.90646719089
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,23139.7986561214
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,1446.83096499408
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,7402.35455862041
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,17401.7215135612
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,504.46254336648
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,65233.2824392302
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SXM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,19329.0968007902
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,25739.2478143246
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,2127.53850760272
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,SOM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,6001.40081394888
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,29613.6711379783
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,3853.08369288942
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,19896.4957043824
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,11611.4154473966
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Martin (French part),MAF,..
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,VCT,7463.53783093423
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,441.505603374484
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SUR,6854.90656148409
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,51610.0660552202
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,81993.7271494202
GDP per capita (current US$),NY.GDP.PCAP.CD,Syrian Arab Republic,SYR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,870.787589323223
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,1122.12181047515
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,7808.19291629949
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TLS,1294.18893388776
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,675.542213340634
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,17276.4654468225
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,3317.54101348345
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkey,TUR,9042.49298288882
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Turks and Caicos Islands,TCA,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,4059.02999569444
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,776.768575885308
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,3659.03131229487
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,43103.3230583165
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,42300.267125825
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,65118.3583328163
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,16190.1269572827
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,1724.8411344137
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,3058.0656752208
GDP per capita (current US$),NY.GDP.PCAP.CD,"Venezuela, RB",VEN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Vietnam,VNM,2715.27603640721
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,..
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,PSE,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Yemen, Rep.",YEM,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Zambia,ZMB,1291.34335737364
GDP per capita (current US$),NY.GDP.PCAP.CD,Zimbabwe,ZWE,1463.98591018054
GDP per capita (current US$),NY.GDP.PCAP.CD,Arab World,ARB,6580.05625672999
GDP per capita (current US$),NY.GDP.PCAP.CD,Caribbean small states,CSS,10307.586280788
GDP per capita (current US$),NY.GDP.PCAP.CD,Central Europe and the Baltics,CEB,16184.332008629
GDP per capita (current US$),NY.GDP.PCAP.CD,Early-demographic dividend,EAR,3641.49428094103
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific,EAS,11526.7364862403
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (excluding high income),EAP,8222.07772991917
GDP per capita (current US$),NY.GDP.PCAP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,8308.33436297408
GDP per capita (current US$),NY.GDP.PCAP.CD,Euro area,EMU,38925.6651077079
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia,ECS,24696.3396075804
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (excluding high income),ECA,8110.72144821906
GDP per capita (current US$),NY.GDP.PCAP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,8988.92804966241
GDP per capita (current US$),NY.GDP.PCAP.CD,European Union,EUU,34843.297471632
GDP per capita (current US$),NY.GDP.PCAP.CD,Fragile and conflict affected situations,FCS,2190.31162605328
GDP per capita (current US$),NY.GDP.PCAP.CD,Heavily indebted poor countries (HIPC),HPC,947.061233586925
GDP per capita (current US$),NY.GDP.PCAP.CD,High income,HIC,44540.3940855154
GDP per capita (current US$),NY.GDP.PCAP.CD,IBRD only,IBD,6564.92014731271
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA & IBRD total,IBT,5227.75905922735
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA blend,IDB,1762.41115437295
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA only,IDX,1185.84185873965
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA total,IDA,1377.49082047327
GDP per capita (current US$),NY.GDP.PCAP.CD,Late-demographic dividend,LTE,10000.4820064391
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean,LCN,8847.43187038476
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean (excluding high income),LAC,8368.44639140975
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,8681.19668598354
GDP per capita (current US$),NY.GDP.PCAP.CD,Least developed countries: UN classification,LDC,1069.6816991512
GDP per capita (current US$),NY.GDP.PCAP.CD,Low & middle income,LMY,5080.3654962737
GDP per capita (current US$),NY.GDP.PCAP.CD,Low income,LIC,779.818941161527
GDP per capita (current US$),NY.GDP.PCAP.CD,Lower middle income,LMC,2176.55822653245
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa,MEA,8104.50188772468
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (excluding high income),MNA,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle income,MIC,5575.44091508914
GDP per capita (current US$),NY.GDP.PCAP.CD,North America,NAC,63181.7957557198
GDP per capita (current US$),NY.GDP.PCAP.CD,Not classified,INX,..
GDP per capita (current US$),NY.GDP.PCAP.CD,OECD members,OED,39399.0492287395
GDP per capita (current US$),NY.GDP.PCAP.CD,Other small states,OSS,13981.5837843025
GDP per capita (current US$),NY.GDP.PCAP.CD,Pacific island small states,PSS,4192.97376136243
GDP per capita (current US$),NY.GDP.PCAP.CD,Post-demographic dividend,PST,45530.2481525472
GDP per capita (current US$),NY.GDP.PCAP.CD,Pre-demographic dividend,PRE,1472.38540164517
GDP per capita (current US$),NY.GDP.PCAP.CD,Small states,SST,12730.944488417
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia,SAS,1959.91716548699
GDP per capita (current US$),NY.GDP.PCAP.CD,South Asia (IDA & IBRD),TSA,1959.91716548699
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa,SSF,1585.43646774798
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (excluding high income),SSA,1573.01368789166
GDP per capita (current US$),NY.GDP.PCAP.CD,Sub-Saharan Africa (IDA & IBRD countries),TSS,1585.43646774798
GDP per capita (current US$),NY.GDP.PCAP.CD,Upper middle income,UMC,9040.04578167003
GDP per capita (current US$),NY.GDP.PCAP.CD,World,WLD,11428.5698505811
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/15/2020,,,,
