"";"ImePriimek";"Premozenje";"Vir";"Leto"
"803";"Warren Buffett";82500;"Berkshire Hathaway";2019
"804";"Bernard Arnault & family";76000;"LVMH";2019
"805";"Carlos Slim Helu & family";64000;"telecom";2019
"806";"Amancio Ortega";62700;"Zara";2019
"807";"Larry Ellison";62500;"software";2019
"808";"Mark Zuckerberg";62300;"Facebook";2019
"809";"Michael Bloomberg";55500;"Bloomberg LP";2019
"810";"Larry Page";50800;"Google";2019
"811";"Charles Koch";50500;"Koch Industries";2019
"812";"David Koch";50500;"Koch Industries";2019
"813";"Mukesh Ambani";50000;"petrochemicals, oil & gas";2019
"814";"Sergey Brin";49800;"Google";2019
"815";"Francoise Bettencourt Meyers & family";49300;"L'Oreal";2019
"816";"Jim Walton";44600;"Walmart";2019
"817";"Alice Walton";44400;"Walmart";2019
"818";"Rob Walton";44300;"Walmart";2019
"819";"Steve Ballmer";41200;"Microsoft";2019
"820";"Ma Huateng";38800;"internet media";2019
"821";"Jack Ma";37300;"e-commerce";2019
"822";"Hui Ka Yan";36200;"real estate";2019
"823";"Beate Heister & Karl Albrecht Jr.";36100;"supermarkets";2019
"824";"Sheldon Adelson";35100;"casinos";2019
"825";"Michael Dell";34300;"Dell computers";2019
"826";"Phil Knight & family";33400;"Nike";2019
"827";"David Thomson & family";32500;"media";2019
"828";"Li Ka-shing";31700;"diversified";2019
"829";"Lee Shau Kee";30100;"real estate";2019
"830";"Francois Pinault & family";29700;"luxury goods";2019
"831";"Joseph Safra";25200;"banking";2019
"832";"Leonid Mikhelson";24000;"gas, chemicals";2019
"833";"Jacqueline Mars";23900;"candy, pet food";2019
"834";"John Mars";23900;"candy, pet food";2019
"835";"Jorge Paulo Lemann & family";22800;"beer";2019
"836";"Azim Premji";22600;"software services";2019
"837";"Dieter Schwarz";22600;"retail";2019
"838";"Wang Jianlin";22600;"real estate";2019
"839";"Giovanni Ferrero";22400;"Nutella, chocolates";2019
"840";"Elon Musk";22300;"Tesla Motors";2019
"841";"Tadashi Yanai & family";22200;"fashion retail";2019
"842";"Yang Huiyan & family";22100;"real estate";2019
"843";"Masayoshi Son";21600;"internet, telecom";2019
"844";"Jim Simons";21500;"hedge funds";2019
"845";"Vladimir Lisin";21300;"steel, transport";2019
"846";"Susanne Klatten";21000;"BMW, pharmaceuticals";2019
"847";"Vagit Alekperov";20700;"oil";2019
"848";"Alexey Mordashov & family";20500;"steel, investments";2019
"849";"Gennady Timchenko";20100;"oil, gas";2019
"850";"Leonardo Del Vecchio & family";19800;"eyeglasses";2019
"851";"He Xiangjian";19800;"home appliances";2019
"852";"Rupert Murdoch & family";19400;"newspapers, TV network";2019
"853";"Dietrich Mateschitz";18900;"Red Bull";2019
"854";"R. Budi Hartono";18600;"banking, tobacco";2019
"855";"Laurene Powell Jobs & family";18600;"Apple, Disney";2019
"856";"Michael Hartono";18500;"banking, tobacco";2019
"857";"Ray Dalio";18400;"hedge funds";2019
"858";"Vladimir Potanin";18100;"metals";2019
"859";"Len Blavatnik";17700;"diversified";2019
"860";"Stefan Quandt";17500;"BMW";2019
"861";"Theo Albrecht, Jr. & family";17400;"Aldi, Trader Joe's";2019
"862";"Carl Icahn";17400;"investments";2019
"863";"Lee Man Tat";17100;"Oyster sauce, real estate";2019
"864";"Thomas Peterffy";17100;"discount brokerage";2019
"865";"Hinduja brothers";16900;"diversified";2019
"866";"Joseph Lau";16900;"real estate";2019
"867";"Lee Kun-hee";16900;"Samsung";2019
"868";"Donald Bren";16400;"real estate";2019
"869";"Takemitsu Takizaki";16300;"sensors";2019
"870";"Zhang Yiming";16200;"software";2019
"871";"Abigail Johnson";15600;"money management";2019
"872";"Stefan Persson";15600;"H&M";2019
"873";"Petr Kellner";15500;"finance, telecommunications";2019
"874";"Iris Fontbona & family";15400;"mining";2019
"875";"Dhanin Chearavanont";15200;"diversified";2019
"876";"Gina Rinehart";15200;"mining";2019
"877";"Lukas Walton";15200;"Walmart";2019
"878";"Kwong Siu-hing";15100;"real estate";2019
"879";"Mikhail Fridman";15000;"oil, banking, telecom";2019
"880";"Pallonji Mistry";15000;"construction";2019
"881";"William Lei Ding";14700;"online games";2019
"882";"Leonard Lauder";14600;"Estee Lauder";2019
"883";"Lui Che Woo & family";14600;"casinos/hotels";2019
"884";"Shiv Nadar";14600;"software services";2019
"885";"Alain Wertheimer";14600;"Chanel";2019
"886";"Gerard Wertheimer";14600;"Chanel";2019
"887";"Charoen Sirivadhanabhakdi";14500;"alcohol, real estate";2019
"888";"Emmanuel Besnier";14300;"cheese";2019
"889";"Charlene de Carvalho-Heineken & family";14200;"Heineken";2019
"890";"Andrey Melnichenko";13800;"coal, fertilizers";2019
"891";"Li Shufu";13600;"automobiles";2019
"892";"Lakshmi Mittal";13600;"steel";2019
"893";"Heinz Hermann Thiele & family";13600;"brakes";2019
"894";"Colin Zheng Huang";13500;"e-commerce";2019
"895";"Hasso Plattner & family";13500;"software";2019
"896";"Dietmar Hopp & family";13400;"software";2019
"897";"Georg Schaeffler";13400;"auto parts";2019
"898";"German Larrea Mota Velasco & family";13300;"mining";2019
"899";"Zhang Zhidong";13300;"internet media";2019
"900";"Stephen Schwarzman";13200;"investments";2019
"901";"Steve Cohen";12900;"hedge funds";2019
"902";"Klaus-Michael Kuehne";12900;"shipping";2019
"903";"Eric Schmidt";12900;"Google";2019
"904";"Robert Kuok";12800;"palm oil, shipping, property";2019
"905";"Harold Hamm & family";12700;"oil & gas";2019
"906";"Alisher Usmanov";12600;"steel, telecom, investments";2019
"907";"Roman Abramovich";12400;"steel, investments";2019
"908";"Thomas Frist, Jr. & family";12400;"hospitals";2019
"909";"Stefano Pessina";12400;"drugstores";2019
"910";"James Ratcliffe";12100;"chemicals";2019
"911";"Wang Wei";12100;"package delivery";2019
"912";"Robert & Philip Ng";12000;"real estate";2019
"913";"Hans Rausing & family";12000;"packaging";2019
"914";"David Duffield";11800;"business software";2019
"915";"Uday Kotak";11800;"banking";2019
"916";"Donald Newhouse";11800;"media";2019
"917";"Ken Griffin";11700;"hedge funds";2019
"918";"David Tepper";11600;"hedge funds";2019
"919";"Viktor Vekselberg";11500;"metals, energy";2019
"920";"Pierre Omidyar";11400;"eBay, PayPal";2019
"921";"Reinhold Wuerth & family";11200;"fasteners";2019
"922";"Kumar Birla";11100;"commodities";2019
"923";"Radhakishan Damani & family";11100;"investments, retail";2019
"924";"Dustin Moskovitz";11100;"Facebook";2019
"925";"Ricardo Salinas Pliego & family";11100;"retail, media";2019
"926";"Udo & Harald Tschira";11100;"software";2019
"927";"Wang Wenyin";11000;"mining, copper products";2019
"928";"Philip Anschutz";10900;"investments";2019
"929";"John Fredriksen";10800;"shipping";2019
"930";"Luis Carlos Sarmiento";10800;"banking";2019
"931";"Peter Woo";10800;"real estate";2019
"932";"Alexander Otto";10700;"real estate";2019
"933";"Gianluigi & Rafaela Aponte";10500;"Shipping";2019
"934";"John Menard, Jr.";10500;"home improvement stores";2019
"935";"Rodolphe Saade & family";10500;"shipping";2019
"936";"Aliko Dangote";10400;"cement, sugar, flour";2019
"937";"Walter P.J. Droege";10200;"consulting";2019
"938";"Marcel Herrmann Telles";9900;"beer";2019
"939";"Mikhail Prokhorov";9800;"investments";2019
"940";"German Khan";9700;"oil, banking, telecom";2019
"941";"Gordon Moore";9700;"Intel";2019
"942";"Eduardo Saverin";9700;"Facebook";2019
"943";"Charles Ergen";9600;"satellite TV";2019
"944";"Jan Koum";9600;"WhatsApp";2019
"945";"Lei Jun";9600;"smartphones";2019
"946";"Robin Li";9600;"internet search";2019
"947";"Cyrus Poonawalla";9500;"vaccines";2019
"948";"Joseph Tsai";9500;"e-commerce";2019
"949";"Eyal Ofer";9400;"real estate, shipping";2019
"950";"Ronald Perelman";9400;"leveraged buyouts";2019
"951";"Quek Leng Chan";9400;"banking, property";2019
"952";"Wu Yajun & family";9400;"real estate";2019
"953";"Jim Kennedy";9300;"media, automotive";2019
"954";"Blair Parry-Okeden";9300;"media, automotive";2019
"955";"Xu Shihui";9300;"snacks, beverages";2019
"956";"Mike Adenuga";9200;"telecom, oil";2019
"957";"Harry Triguboff";9200;"real estate";2019
"958";"Andrew Beal";9100;"banks, real estate";2019
"959";"Graeme Hart";9100;"investments";2019
"960";"Hui Wing Mau";9000;"real estate";2019
"961";"Sun Hongbin";9000;"real estate";2019
"962";"Micky Arison";8900;"Carnival Cruises";2019
"963";"James Goodnight";8900;"software";2019
"964";"Pang Kang";8900;"soy sauce maker";2019
"965";"Viktor Rashnikov";8900;"steel";2019
"966";"Carlos Alberto Sicupira & family";8900;"beer";2019
"967";"Gautam Adani";8700;"commodities, ports";2019
"968";"Leonid Fedun & family";8700;"oil";2019
"969";"Stanley Kroenke";8700;"sports, real estate";2019
"970";"Jorn Rausing";8700;"packaging";2019
"971";"Gong Hongjia & family";8600;"video surveillance";2019
"972";"Michael Kadoorie";8600;"hotels, energy";2019
"973";"Giorgio Armani";8500;"luxury goods";2019
"974";"Sun Piaoyang";8400;"pharmaceuticals";2019
"975";"August von Finck";8400;"investments";2019
"976";"Galen Weston & family";8400;"retail";2019
"977";"Zong Qinghou";8400;"beverages";2019
"978";"Carl Cook";8300;"medical devices";2019
"979";"Charles Schwab";8300;"discount brokerage";2019
"980";"George Soros";8300;"hedge funds";2019
"981";"Johann Graf";8100;"gambling";2019
"982";"Seo Jung-jin";8100;"biotech";2019
"983";"Ernesto Bertarelli";8000;"biotech, investments";2019
"984";"Michael Platt";8000;"hedge funds";2019
"985";"Finn Rausing";7900;"packaging";2019
"986";"Kirsten Rausing";7900;"packaging";2019
"987";"David Geffen";7800;"movies, record labels";2019
"988";"Edward Johnson, III.";7800;"money management";2019
"989";"Ma Jianrong & family";7800;"textiles, apparel";2019
"990";"Patrick Drahi";7700;"telecom";2019
"991";"George Kaiser";7600;"oil & gas, banking";2019
"992";"Stephen Ross";7600;"real estate";2019
"993";"Dilip Shanghvi";7600;"pharmaceuticals";2019
"994";"Eric Wittouck";7600;"Investments";2019
"995";"Alexei Kuzmichev";7500;"oil, banking, telecom";2019
"996";"David Reuben";7500;"investments, real estate";2019
"997";"Simon Reuben";7500;"real estate, investments";2019
"998";"Alberto Bailleres Gonzalez & family";7400;"mining";2019
"999";"Massimiliana Landini Aleotti & family";7400;"pharmaceuticals";2019
"1000";"Herbert Kohler, Jr. & family";7300;"plumbing fixtures";2019
"1001";"Jeff Bezos";113000;"Amazon";2020
"1002";"Bill Gates";98000;"Microsoft";2020
"1003";"Bernard Arnault & family";76000;"LVMH";2020
"1004";"Warren Buffett";67500;"Berkshire Hathaway";2020
"1005";"Larry Ellison";59000;"software";2020
"1006";"Amancio Ortega";55100;"Zara";2020
"1007";"Mark Zuckerberg";54700;"Facebook";2020
"1008";"Jim Walton";54600;"Walmart";2020
"1009";"Alice Walton";54400;"Walmart";2020
"1010";"Rob Walton";54100;"Walmart";2020
"1011";"Steve Ballmer";52700;"Microsoft";2020
"1012";"Carlos Slim Helu & family";52100;"telecom";2020
"1013";"Larry Page";50900;"Google";2020
"1014";"Sergey Brin";49100;"Google";2020
"1015";"Francoise Bettencourt Meyers & family";48900;"L'Oreal";2020
"1016";"Michael Bloomberg";48000;"Bloomberg LP";2020
"1017";"Jack Ma";38800;"e-commerce";2020
"1018";"Charles Koch";38200;"Koch Industries";2020
"1019";"Julia Koch & family";38200;"Koch Industries";2020
"1020";"Ma Huateng";38100;"internet media";2020
"1021";"Mukesh Ambani";36800;"petrochemicals, oil & gas";2020
"1022";"MacKenzie Scott";36000;"Amazon.com";2020
"1023";"Beate Heister & Karl Albrecht Jr.";33300;"supermarkets";2020
"1024";"David Thomson & family";31600;"media";2020
"1025";"Phil Knight & family";29500;"Nike";2020
"1026";"Lee Shau Kee";28100;"real estate";2020
"1027";"Francois Pinault & family";27000;"luxury goods";2020
"1028";"Sheldon Adelson";26800;"casinos";2020
"1029";"Jacqueline Mars";24700;"candy, pet food";2020
"1030";"John Mars";24700;"candy, pet food";2020
"1031";"Elon Musk";24600;"Tesla, SpaceX";2020
"1032";"Giovanni Ferrero";24500;"Nutella, chocolates";2020
"1033";"Michael Dell";22900;"Dell computers";2020
"1034";"Hui Ka Yan";21800;"real estate";2020
"1035";"Li Ka-shing";21700;"diversified";2020
"1036";"He Xiangjian";21600;"home appliances";2020
"1037";"Jim Simons";21600;"hedge funds";2020
"1038";"Yang Huiyan & family";20300;"real estate";2020
"1039";"Joseph Safra";19900;"banking";2020
"1040";"Dieter Schwarz";19800;"retail";2020
"1041";"Vladimir Potanin";19700;"metals";2020
"1042";"Tadashi Yanai & family";19700;"fashion retail";2020
"1043";"Qin Yinglin & family";18500;"pig breeding";2020
"1044";"Lukas Walton";18400;"Walmart";2020
"1045";"Vladimir Lisin";18100;"steel, transport";2020
"1046";"Ray Dalio";18000;"hedge funds";2020
"1047";"Takemitsu Takizaki";17400;"sensors";2020
"1048";"Leonid Mikhelson";17100;"gas, chemicals";2020
"1049";"Alain Wertheimer";17100;"Chanel";2020
"1050";"Gerard Wertheimer";17100;"Chanel";2020
"1051";"Theo Albrecht, Jr. & family";17000;"Aldi, Trader Joe's";2020
"1052";"Len Blavatnik";17000;"diversified";2020
"1053";"William Lei Ding";17000;"online games";2020
"1054";"Susanne Klatten";16800;"BMW, pharmaceuticals";2020
"1055";"Alexey Mordashov & family";16800;"steel, investments";2020
"1056";"Masayoshi Son";16600;"internet, telecom";2020
"1057";"Colin Zheng Huang";16500;"e-commerce";2020
"1058";"Dietrich Mateschitz";16500;"Red Bull";2020
"1059";"Joseph Lau";16400;"real estate";2020
"1060";"Laurene Powell Jobs & family";16400;"Apple, Disney";2020
"1061";"Zhang Yiming";16200;"software";2020
"1062";"Leonardo Del Vecchio & family";16100;"eyeglasses";2020
"1063";"Donald Bren";15500;"real estate";2020
"1064";"Stephen Schwarzman";15400;"investments";2020
"1065";"Vagit Alekperov";15200;"oil";2020
"1066";"Lee Man Tat";15200;"food";2020
"1067";"Wang Wei";15200;"package delivery";2020
"1068";"Petr Kellner";14900;"finance, telecommunications";2020
"1069";"Rupert Murdoch & family";14900;"newspapers, TV network";2020
"1070";"Leonard Lauder";14600;"Estee Lauder";2020
"1071";"Zhong Huijuan";14600;"pharmaceuticals";2020
"1072";"Gennady Timchenko";14400;"oil, gas";2020
"1073";"Thomas Peterffy";14300;"discount brokerage";2020
"1074";"Klaus-Michael Kuehne";14200;"shipping";2020
"1075";"Lee Kun-hee";14100;"Samsung";2020
"1076";"Wang Jianlin";14000;"real estate";2020
"1077";"Steve Cohen";13900;"hedge funds";2020
"1078";"Radhakishan Damani & family";13800;"retail, investments";2020
"1079";"Carl Icahn";13800;"investments";2020
"1080";"R. Budi Hartono";13600;"banking, tobacco";2020
"1081";"Dhanin Chearavanont";13500;"diversified";2020
"1082";"Stefan Persson";13500;"H&M";2020
"1083";"Alisher Usmanov";13400;"steel, telecom, investments";2020
"1084";"Eric Schmidt";13200;"Google";2020
"1085";"Gina Rinehart";13100;"mining";2020
"1086";"Walter P.J. Droege";13000;"consulting";2020
"1087";"Mikhail Fridman";13000;"oil, banking, telecom";2020
"1088";"Michael Hartono";13000;"banking, tobacco";2020
"1089";"Dietmar Hopp & family";13000;"software";2020
"1090";"Zhang Zhidong";13000;"internet media";2020
"1091";"Hinduja brothers";12900;"diversified";2020
"1092";"Heinz Hermann Thiele & family";12900;"brakes";2020
"1093";"Charlene de Carvalho-Heineken & family";12800;"Heineken";2020
"1094";"Emmanuel Besnier";12700;"cheese";2020
"1095";"Andrey Melnichenko";12500;"coal, fertilizers";2020
"1096";"Li Shufu";12400;"automobiles";2020
"1097";"Hasso Plattner & family";12400;"software";2020
"1098";"Liu Yonghao & family";12300;"agribusiness";2020
"1099";"Stefan Quandt";12300;"BMW";2020
"1100";"Ken Griffin";12100;"hedge funds";2020
"1101";"David Tepper";12000;"hedge funds";2020
"1102";"Wu Yajun & family";12000;"real estate";2020
"1103";"Kwong Siu-hing";11900;"real estate";2020
"1104";"Shiv Nadar";11900;"software services";2020
"1105";"Sun Piaoyang";11800;"pharmaceuticals";2020
"1106";"Lui Che Woo & family";11700;"casinos/hotels";2020
"1107";"Ricardo Salinas Pliego & family";11700;"retail, media";2020
"1108";"Li Xiting";11600;"medical devices";2020
"1109";"Reinhold Wuerth & family";11600;"fasteners";2020
"1110";"John Menard, Jr.";11500;"home improvement stores";2020
"1111";"Pang Kang";11500;"soy sauce";2020
"1112";"Peter Woo";11500;"real estate";2020
"1113";"Roman Abramovich";11300;"steel, investments";2020
"1114";"Udo & Harald Tschira";11300;"software";2020
"1115";"Mikhail Prokhorov";11200;"investments";2020
"1116";"Xu Hang";11200;"medical devices";2020
"1117";"Pallonji Mistry";11100;"construction";2020
"1118";"Philip Anschutz";11000;"investments";2020
"1119";"German Larrea Mota Velasco & family";11000;"mining";2020
"1120";"Pierre Omidyar";11000;"eBay, PayPal";2020
"1121";"James Ratcliffe";11000;"chemicals";2020
"1122";"Zhang Yong";11000;"restaurants";2020
"1123";"Robert & Philip Ng";10900;"real estate";2020
"1124";"Iris Fontbona & family";10800;"mining";2020
"1125";"Abigail Johnson";10800;"money management";2020
"1126";"Donald Newhouse";10800;"media";2020
"1127";"Graeme Hart";10500;"investments";2020
"1128";"Viktor Vekselberg";10500;"metals, energy";2020
"1129";"Goh Cheng Liang";10400;"paints";2020
"1130";"Uday Kotak";10400;"banking";2020
"1131";"Jorge Paulo Lemann & family";10400;"beer";2020
"1132";"Jorn Rausing";10300;"packaging";2020
"1133";"Hank & Doug Meijer";10200;"supermarkets";2020
"1134";"Stefano Pessina";10200;"drugstores";2020
"1135";"Suleiman Kerimov & family";10000;"investments";2020
"1136";"Stanley Kroenke";10000;"sports, real estate";2020
"1137";"Joseph Tsai";10000;"e-commerce";2020
"1138";"Gordon Moore";9800;"Intel";2020
"1139";"Jan Koum";9700;"WhatsApp";2020
"1140";"Robin Zeng";9700;"batteries";2020
"1141";"John Fredriksen";9600;"shipping";2020
"1142";"Robert Kuok";9600;"palm oil, shipping, property";2020
"1143";"Andreas Struengmann & family";9600;"pharmaceuticals";2020
"1144";"Thomas Struengmann & family";9600;"pharmaceuticals";2020
"1145";"Hui Wing Mau";9500;"real estate";2020
"1146";"Dustin Moskovitz";9300;"Facebook";2020
"1147";"Lei Jun";9200;"smartphones";2020
"1148";"Quek Leng Chan";9200;"banking, property";2020
"1149";"Sun Hongbin";9200;"real estate";2020
"1150";"Finn Rausing";9100;"packaging";2020
"1151";"Kirsten Rausing";9100;"packaging";2020
"1152";"Charoen Sirivadhanabhakdi";9100;"alcohol, real estate";2020
"1153";"Stewart and Lynda Resnick";9000;"agriculture, water";2020
"1154";"Luis Carlos Sarmiento";9000;"banking";2020
"1155";"Gautam Adani";8900;"commodities, ports";2020
"1156";"Christy Walton";8900;"Walmart";2020
"1157";"Sunil Mittal & family";8800;"telecom";2020
"1158";"Zhang Bangxin";8800;"education";2020
"1159";"Anthony Pratt";8700;"manufacturing";2020
"1160";"German Khan";8500;"oil, banking, telecom";2020
"1161";"Eduardo Saverin";8400;"Facebook";2020
"1162";"Aliko Dangote";8300;"cement, sugar";2020
"1163";"George Soros";8300;"hedge funds";2020
"1164";"Zong Qinghou";8300;"beverages";2020
"1165";"Richard Qiangdong Liu";8200;"e-commerce";2020
"1166";"Friedhelm Loh";8200;"manufacturing";2020
"1167";"Lu Zhongfang";8200;"education";2020
"1168";"Cyrus Poonawalla";8200;"vaccines";2020
"1169";"Ernesto Bertarelli";8000;"biotech, investments";2020
"1170";"Mike Cannon-Brookes";8000;"software";2020
"1171";"Carl Cook";8000;"medical devices";2020
"1172";"Scott Farquhar";8000;"software";2020
"1173";"Gong Hongjia & family";8000;"video surveillance";2020
"1174";"Jerry Jones";8000;"Dallas Cowboys";2020
"1175";"Michael Platt";8000;"hedge funds";2020
"1176";"Anders Holch Povlsen";8000;"fashion retail";2020
"1177";"Eric Wittouck";8000;"Investments";2020
"1178";"Xu Shihui";8000;"snacks, beverages";2020
"1179";"Andrew Beal";7900;"banks, real estate";2020
"1180";"Ann Walton Kroenke";7900;"Walmart";2020
"1181";"Wang Wenyin";7900;"mining, copper products";2020
"1182";"Zhang Fan";7900;"touch screens";2020
"1183";"Shahid Khan";7800;"auto parts";2020
"1184";"Zhang Jindong";7700;"appliance retailer";2020
"1185";"Kumar Birla";7600;"commodities";2020
"1186";"Chen Bang";7600;"hospitals";2020
"1187";"David Geffen";7600;"movies, record labels";2020
"1188";"Jiang Rensheng & family";7600;"vaccines";2020
"1189";"Jim Kennedy";7600;"media, automotive";2020
"1190";"Blair Parry-Okeden";7600;"media, automotive";2020
"1191";"Stephen Ross";7600;"real estate";2020
"1192";"August von Finck";7600;"investments";2020
"1193";"David Duffield";7500;"business software";2020
"1194";"Thomas Frist, Jr. & family";7500;"hospitals";2020
"1195";"Eyal Ofer";7500;"real estate, shipping";2020
"1196";"John Grayken";7400;"private equity";2020
"1197";"Niels Peter Louis-Hansen";7400;"medical devices";2020
"1198";"Lakshmi Mittal";7400;"steel";2020
"1199";"Nicky Oppenheimer & family";7400;"diamonds";2020
"1200";"John Doerr";7300;"venture capital";2020
